domain,registrar,creation_date,expiration_date,updated_date,name_servers,status,registrant,ip_address,availability
bancotpzatualiza.apps.dnofd.com,"GoDaddy.com, LLC",13/07/2017,13/07/2026,13/08/2019,"rawText, hostNames, ips",clientTransferProhibited clientUpdateProhibited clientRenewProhibited clientDeleteProhibited,"Domains By Proxy, LLC",54.80.239.42,UNAVAILABLE
www.linkedin.com,"MarkMonitor, Inc.",2002-11-02T15:38:11+0000,2025-11-02T00:00:00+0000,2024-10-01T11:01:31+0000,"rawText, hostNames, ips",clientUpdateProhibited clientTransferProhibited clientDeleteProhibited serverUpdateProhibited serverTransferProhibited serverDeleteProhibited,LinkedIn Corporation,172.64.146.215,UNAVAILABLE
bancotpz.com.br,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,UNAVAILABLE
web.telegram.org,"GoDaddy.com, LLC",N/A,N/A,N/A,,N/A,N/A,149.154.167.99,UNAVAILABLE
www.youtube.com,"MarkMonitor, Inc.",2005-02-15T05:13:12+0000,2025-02-15T00:00:00+0000,2024-01-14T09:59:58+0000,"rawText, hostNames, ips",clientUpdateProhibited clientTransferProhibited clientDeleteProhibited serverUpdateProhibited serverTransferProhibited serverDeleteProhibited,Google LLC,172.217.29.78,UNAVAILABLE
www.delegaciaeletronica.policiacivil.sp.gov.br,N/A,N/A,N/A,N/A,,N/A,N/A,201.55.8.149,UNAVAILABLE
www.bcb.gov.br,N/A,N/A,N/A,N/A,,N/A,N/A,13.107.246.33,UNAVAILABLE
outlook.live.com,"CSC CORPORATE DOMAINS, INC.",28/12/1994,27/12/2024,02/07/2024,"rawText, hostNames, ips",clientDeleteProhibited clientTransferProhibited serverDeleteProhibited serverTransferProhibited,Microsoft Corporation,52.97.33.114,UNAVAILABLE
www.infomoney.com.br,N/A,N/A,N/A,N/A,,N/A,N/A,192.0.66.154,UNAVAILABLE
g1.globo.com,1API GmbH,21/12/1998,21/12/2025,23/05/2018,"rawText, hostNames, ips",clientDeleteProhibited - clientTransferProhibited -,27.865.757/0001-02,186.192.81.31,UNAVAILABLE
www.google.com,"MarkMonitor, Inc.",1997-09-15T07:00:00+0000,2028-09-13T07:00:00+0000,2024-08-02T02:17:33+0000,"rawText, hostNames, ips",clientUpdateProhibited clientTransferProhibited clientDeleteProhibited serverUpdateProhibited serverTransferProhibited serverDeleteProhibited,Google LLC,142.251.128.228,UNAVAILABLE
